aircraft_id,Manufacturer,Model,Category,Typical Capacity,Max Capacity,Range (KM)
C750,Cessna,Citation X,Private Jet,8,12,6408
MD82,McDonnell Douglas,MD-82,Narrowbody,155,172,3800
MD83,McDonnell Douglas,MD-83,Narrowbody,155,172,4635
MD87,McDonnell Douglas,MD-87,Narrowbody,130,139,4390
MD88,McDonnell Douglas,MD-88,Narrowbody,155,172,4720
MD90,McDonnell Douglas,MD-90,Narrowbody,153,172,3860
DC10,McDonnell Douglas,DC-10-30,Widebody,270,380,10010
MD11,McDonnell Douglas,MD-11,Widebody,298,410,12633
DC93,McDonnell Douglas,DC-9-30,Narrowbody,115,127,3090
F70,Fokker,Fokker 70,Regional,72,85,3410
F100,Fokker,Fokker 100,Regional,97,122,3170
F50,Fokker,Fokker 50,Turboprop,50,58,2055
SF34,Saab,Saab 340,Turboprop,34,36,1732
SB20,Saab,Saab 2000,Turboprop,50,58,2869
D328,Dornier,Do 328,Turboprop,30,33,1850
J328,Dornier,Do 328JET,Regional,30,33,2740
A148,Antonov,An-148,Regional,75,85,2100
A158,Antonov,An-158,Regional,89,99,2500
A124,Antonov,An-124 Ruslan,Freighter,0,0,3700
IL96,Ilyushin,Il-96-300,Widebody,262,300,11500
T204,Tupolev,Tu-204,Narrowbody,196,210,4300
B462,British Aerospace,BAe 146-200,Regional,85,100,2900
RJ85,British Aerospace,Avro RJ85,Regional,85,100,2960
RJ1H,British Aerospace,Avro RJ100,Regional,100,112,2760
B190,Beechcraft,1900D,Turboprop,19,19,700
PC12,Pilatus,PC-12,Turboprop,9,9,2804
CONC,Aerospatiale/BAC,Concorde,Supersonic,100,128,7222
L101,Lockheed,L-1011 TriStar,Widebody,256,400,5300
GLF6,Gulfstream,G650,Private Jet,13,19,12960
A225,Antonov,An-225 Mriya,Freighter,0,0,4000
